Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,-50.17625352752919,180
8.4244522084196,-50.4836926813769,0.01659761017761156
16.8489044168392,-53.94665011711233,0.1825931664168879
25.2733566252588,-63.71505080068196,179.342333700273
33.6978088336784,-77.97065217734939,147.8022267010938
42.122261042098,-80.32462834990612,72.7494867710122
50.5467132505176,-80.00794889625412,45.63736549664364
58.9711654589372,-80.38097002780313,18.9532296354839
67.3956176673568,-81.7565850626444,163.9028020262843
75.8200698757764,-82.38735957579203,139.0548139330011
84.24452208419601,-82.80556669416454,141.2548349369453
92.6689742926156,-82.34289653172462,151.6308412432364
101.0934265010352,-83.20637497465874,158.9694233535392
109.5178787094548,-83.07940886038411,165.4067304433808
117.9423309178744,-82.40950686681705,166.1215274564481
126.366783126294,-82.12580484190993,156.4015829120198
134.7912353347136,-83.1539362005857,117.9130175988291
143.2156875431332,-81.88883448321678,79.1038974413338
151.6401397515528,-81.41280794490351,78.39661301567627
160.0645919599724,-82.45352134709123,56.08796536454158
168.489044168392,-83.29468419477267,67.33472455964775
176.9134963768116,-82.7776035938065,64.29929379280851
185.3379485852312,-82.07894936049271,54.83249274339963
193.7624007936508,-81.73070405650347,61.81259726269077
202.1868530020704,-82.59552412771384,52.97087892556617
210.61130521049,-83.1998056107403,53.76039821993875
219.0357574189096,-83.19870785300138,54.51951442722936
227.4602096273292,-82.47145740575677,55.64817032728499
235.8846618357488,-82.33471696970007,51.96341707648659
244.3091140441684,-82.04269252829647,53.35373283296538
252.733566252588,-82.644816557179,108.69493177538
261.1580184610076,-82.67472408696534,143.8475116809691
269.5824706694272,-82.88545886058662,155.6880983109727
278.0069228778468,-83.64495874238978,159.8253177040829
286.4313750862664,-82.59560869589599,171.4198515730612
294.855827294686,-81.87903418888753,26.2241999227836
303.2802795031056,-84.1046535288063,91.38617984455144
311.7047317115252,-84.28469525072657,117.6261047310838
320.1291839199448,-82.86846323246449,105.6641377286518
328.5536361283644,-82.33124345792547,116.0786977999642
336.978088336784,-83.54205500378553,170.9954544170004
345.4025405452036,-83.93839026178982,74.04879220739879
353.8269927536232,-83.57788689056139,97.60466864624516
362.2514449620428,-83.98057637790357,118.5981470045719
370.6758971704624,-83.33583831050434,142.4966603452555
379.100349378882,-83.40596783384282,160.9008614992426
387.5248015873016,-82.99673349009379,156.4826646510974
395.9492537957212,-83.25884112555345,122.0722973940035
404.3737060041408,-82.57690816173037,19.87967337206979
412.7981582125604,-82.17982067363303,177.7878643373891
421.22261042098,-83.27850844999182,173.9324242040663
429.6470626293996,-83.40852676606309,177.6492824854589
438.0715148378192,-82.35569158094869,65.61724795776412
446.4959670462388,-81.96892642398458,134.1311354911035
454.9204192546584,-81.8056784444689,123.1221686318284
463.344871463078,-81.31596765596163,109.2113716458597
471.7693236714976,-80.81969103180765,96.20041515634064
480.1937758799172,-83.15275566644746,70.6417078553644
488.6182280883368,-83.37492350151096,133.6912316212672
497.0426802967564,-83.51311480529512,117.1596796961336
505.467132505176,-82.98972332621838,117.104468283019
